〆切	termination、conclusion、ending、deadline
上昇	raise; rise; elevation; ascension; ascent; lifting
上場	listing
上席	upper seat; seniority
上積み	upper load
上段	upper stage
上値	higher price
上智大学	Sophia Univ.
上部	superior …; superior
上役	higher‐up
上陸	landing; disembarkation
乗	power
乗せる	betray、deceive、lead astray、load、laden、load up、lade、perch、load、pick up
乗っかっ	hop on、get on、jump on、mount、climb on、mount up、bestride
乗り越え	surmount、overcome、master、get over、subdue、go、survive、endure、last、hold out
乗り換え	connexion、connection
乗り降り	getting on and off
乗り込み	man、embark、ship、get on、board、man、break、break in
乗り出す	plunge、launch、commence、start、embark on、start up、attempt、set about、undertake、venture
乗り上げ	be stranded; run aground
乗り切る	tide、tide、go、survive、endure、last、hold out、hold up、live on、live
乗り物	vehicle
乗る	put on、mount、take、ride、hop on、get on、jump on、mount、climb on、mount up
乗員	crew
乗車	getting on a train; taking a train
乗車券	ticket
乗務員	crew; crew member; crewman
乗用車	passenger car
冗長	diffuse、wordy、long-winded、verbose、tedious、windy、excess、spare、supernumerary、surplus
城	strong hold; castle
城下町	castle town
城山	Shiroyama
城址	ruined castle
場	field
場合	instance、example、case、event、case、occasion、occasion
場所	location; place; spot; room
場面	scene
常々	e'er、ever、always、constantly、always、invariably
常時	normal
常識	common knowledge; common practice; common sense
常識的	ordinary、commonplace
常任	standing; regular; permanent
常用	habitual use; regular use; common use
常連	patron
情けない	miserable、deplorable、execrable、woeful、wretched
情勢	conditions; state of affairs; situation
情操教育	cultivation of aesthetic sensibility; education in good taste
情動	affection; injury; affect; emotion
情熱	zeal; passion
情婦	sweetheart
情報	information
情報サービス	information service
情報セキュリティ	information security
情報センター	information center
情報機関	intelligence agency; information agency
情報局	clearinghouse; information bureau
情報源	information source; origin of document
情報公開	information disclosure; opening of information; freedom of information; disclosure; administrative information disclosure
情報公開制度	official information disclosure system
情報収集	information collection
情報収集艦	Spy ship
情報処理	information processing
情報戦	Information warfare
情報操作	manipulation of information
情報通信	information communication
情報提供	information dissemination; information service
情報発信	communication of information
情報番組	information programs
情報量	information content; amount of information; information quantity
条	stria; section
条件	requirement; condition; terms
条文	text; provision
条例	ordinance; regulation; decree; byelaw; bylaw
状	missive、letter、condition、status
状況	circumstances; condition; state; situation
状態	status; condition; state; situation
畳	tatami; mat; tatami mat
蒸留	distillation
譲り受け	inherit
譲歩	concession; compromise; conciliation
醸し出さ	bring about; engender
飾っ	decorate、dress、decorate、grace、adorn、beautify、embellish、ornament、bedeck、bedight
拭か	pass over、wipe、mop up、mop、wipe up
植物	plant
植民地	colony
織り	weave、interweave、tissue、weave
職	position; work; job
職安	public employment security office
職員	staff; personnel; staff member
職業	occupation; vocation; calling
職業安定法	Employment Security Law
職業紹介事業	labor exchange
職種	occupation
職場	office; workshop; station
職人	craftsman; artisan; workman
職務質問	police checkup; police questioning
色	colour; color; hue; tint
色々	assorted、various、divers、diverse、versatile、various
色弱	color anomaly; incomplete color blindness; color weakness; color amblyopia; dyschromatopsia; anomalous trichromatism
色丹	Shikotan
色丹島	Shikotan
色分け	assortment、categorisation、compartmentalisation、categorization、compartmentalization、classification、categorisation、categorization、classification
触っ	touch on、affect、touch、bear on、bear upon、impact、meet、adjoin、contact、touch
触れ	disperse、circulate、distribute、propagate、broadcast、circularize、pass around、circularise、diffuse、spread
食	diet; eclipse
食い	feeding、eating
食い違い	divergence、disagreement、discrepancy、variance、cross-purpose、dissension、discord、dispute、conflict、difference
食い込ん	intrude on、obtrude upon、encroach upon、invade
食い止める	arrest、stop、contain、check、turn back、hold back、block、halt、stop、kibosh
食い物	victim; food
食う	eat、eat、eat、feed、endure、suffer、survive、exist、subsist、live
食の安全	Food safety
食べ	eat、eat、eat、feed、survive、exist、subsist、live
食べ物	diet; food
食み	eat、eat、eat、feed
食らいつい	to bite at; to snap at; to nibble
食らう	eat、eat、drink、imbibe、eat、feed、endure、suffer
食育	dietary education
食害	insect damage; feeding damage
食感	food feeling
食材	food
食事	dinner; dietary; diet; diet meal; food; meal
食生活	eating habits; dietary life; dietary habit; food practice
食卓	table
食堂	dining room; dining saloon; dining hall
食品会社	food company
食分	magnitude of eclipse; degree of obscuration
食欲	appetite
食料	food; foodstuff; provision
尻	nates; breech; rump; clunes; croup; hip; rear
尻込み	recoil、quail、squinch、shrink、wince、funk、flinch、cringe、hesitate、waffle
尻馬	buttocks of a horse being ridden or followed
伸ばす	stretch、extend、develop、make grow、stretch、elongate、widen、broaden、extend、stretch
伸び	elongation
伸びる	go up、climb、rise、advance、gain、grow、stretch、advance、come along、get on
伸び悩む	to be sluggish (business); to make little progress; to not grow as much as expected
信	belief
信じ	believe、believe、believe、believe、trust、believe in
信じ込ん	believe in
信号	signalisation; semaphore; signal
信条	principles; creed
信念	belief; faith; conviction
信用	reliance; faith; trust; credence; confidence; credit
信頼	reliance; trust; confidence
信頼の原則	rule of reliance on reasonable conduct
信頼回復	recovering of trust; winning back of trust
信頼関係	fiduciary relation; fiduciary relationship
信頼性	reliability; dependability
信頼度	reliability
侵害	impingement; trespass; infringement; intrusion
侵入	raid; penetration; infiltration; stress; invasion; irruption; immersion; incursion
侵犯	violation; invasion
寝	kip、slumber、sleep、log z's、catch some z's、bed、hit the hay、hit the sack、go to bed、crawl in
寝静まっ	fall asleep
寝台列車	sleeper train
寝返っ	denounce、shit、rat、betray、give away、stag、tell on、snitch、grass、shop
寝坊	oversleeping
審議	discussion; deliberation; review
審議会	deliberation council; council
審査	screening; examination; judgement; inspection
審査員	judge
心	heart; spirit; mind
心がけ	mind (that)
心掛け	strive、endeavor、endeavour
心機一転	changing one's attitude; turning over a new leaf; getting a fresh start
心境	mental state; mind; state of mind
心強かっ	reassuring、heartening、inspiriting
心情	feeling; mind
心臓	heart; cor; conducting system of the heart; coeur
心中	double suicide; collective suicide
心配	anxiety; care; fear
心理	mentality; psychology; state of mind
心理学	psychology
心理学研究科	The Graduate School of Psychology
心理学者	psychologist
心理効果	psychological effect
心理的	mental、psychological、mental
心療内科	psychodiagnosis medical dept.
慎重	carefully
振っ	desolate、abandon、desert、forsake、refuse、decline、shake、flourish、wave、brandish
振り	throw、sales talk、sales pitch、pitch
振り回さ	flourish、wave、brandish、sweep、swing out、swing、brandish
振り向く	look back、look backward
振り出さ	write a check; shake out; start shaking; shake and give
振り出し	issuance、issuing、issue、beginning
振り分ける	apportion、allocate、share、deal、portion out、apportion、divvy up
振り返っ	look back、review、retrospect、turn、look back、look backward
振る舞い	action、behavior、doings、conduct、behaviour、demeanor、behavior、deportment、demeanour、conduct
振る舞う	act、behave、do、regale、treat、entertain、deport、behave、bear、conduct
振れ	jump、alternate、wag、waggle
振興	development; promotion
新しい	new、fresh、unused、new、young、up-to-date、cutting-edge、with-it、strong、warm
新た	new、new、young、new、fresh、fresh、new、novel、new
新サービス	new services
新井	Arai
新潟	Niigata; Niigata prefecture; Niigata‐ken
新潟県中越地震	2004 Ch?etsu earthquake
新潟水俣病	Niigata-Minamata disease
新潟青陵大学	Niigata Seiryo University
新規	de novo …; de novo
新規契約	new contract
新興	new; rising
新型	new style; late model; latest style; new fashion
新国立競技場	New National Stadium Japan
新婚旅行	honeymoon
新作	new product
新時代	new era
新車	new vehicle
新宿	Shinjuku
新書	new book; small‐sized paperback book
新進	rising; up-and-coming
新人	neo‐man; modern man; novice; new member
新人賞	Rookie of the Year award
新生	the newborn; new birth; new life; new formation; neogenesis; newborn
新鮮	new、unsullied、stainless、untainted、unstained、untarnished、unstained、fresh、unused、unsoiled
新卒	new graduate
新体制	new system
新着	arrival
新潮社	Shinchosha; Shinchosha Co.、Ltd.
新入社員	incoming employee
新年	New Year; new year
新品	new article
新聞	press; paper; gazette; newspaper
新聞記事	newspaper article
新聞記者	newspaper reporter
新聞紙	newsprint
新聞社	newspaper company; newspaper publishing company; newspaper organization
新聞報道	newspaper report; press reporting
新報	word、intelligence、news、tidings
森	forest; woods; grove
森山	Moriyama
森林	forest; woods
浸	be soaked; steeped in
浸水	inundation; flood; retting
浸透	osmosis; permeation; penetration; infiltration; percolation; penetrance
深	deep、rich、thick、deep、unfathomed、profound、unplumbed、unsounded、deep、wakeless
深まっ	intensify、deepen
深め	intensify、heighten、deepen、compound、sharpen、heighten、deepen
深刻	critical、acute、severe、serious、life-threatening、grave、dangerous、grievous、decisive、critical
深山	deep mountain
深層	lamina profunda
深読み	reading too much into (what ... says)
深夜	midnight
深澤	Fukazawa
申し	speak、talk、mouth、utter、verbalize、verbalise、relate、say、state、say
申しあげ	say、state、say、tell
申し込み	subscription、proposition、proposal、asking、request
申し込む	apply、challenge; make an application; propose; request; book; reserve; subscribe for; offer; lodge; apply for; make an overture
申し出	offer、posit、state、submit、put forward、offer、proffer、offer、extend、offer
申し上げ	posit、state、submit、put forward、speak、talk、mouth、utter、verbalize、verbalise
申し入れ	suggestion、proposition、proposal、offer、offering、asking、request
申し入れ書	letter (often open); letter containing a proposal
申し訳	rationalise、justify、apologise、rationalize、excuse、apologize
申し訳ない	regretful、bad、sorry、inexcusable
申込	proposition、proposal、asking、request
申込み	proposition、proposal、asking、request
申請	application
真	real
真っ先	beginning; head
真っ当	proper; respectable; decent; honest
真ん中	center、middle、center、center、centre、midpoint、core、centre、center、center
真価	true value
真顔	sober face; serious expression
真偽	fact or fiction
真剣	eager、serious、earnest、solemn、sincere
真剣勝負	fighting with real swords; game played in real earnest
真似	simulate、copy、imitate
真実	really、real、very、rattling、really、genuinely、truly
真正面	directly opposite; right in front
真相	fact; truth
真面目	square、straight、straightforward、honest、honorable、earnest、businesslike、serious、earnest、solemn
真摯	serious、earnest、solemn、sincere
神	god; God; goddess
神意	divine will
神格	divinity
神業	divine work; miracle
神戸	Kobe
神戸新聞	Kobe Shimbun
神山	Kamiyama
神出鬼没	appearing in unexpected places and at unexpected moments; elusive; phantom
神棚	family altar
神道	Shintoism
神奈川	Kanagawa‐prefecture; Kanagawa; Kanagawa‐ken
神様	god
芯	center; core
親	parent
親し	dear、good、near、intimate、familiar、familiar、friendly、friendly、favorable、well-disposed
親しみ	closeness、intimacy
親近感	familiarity
親権	parental authority
親御	another's parent; another's parents
親子	parent and child
親戚	relative
親切	thoughtful、amiable、genial、cordial、affable、kind
親族	relative
親代わり	foster care
親友	close friend; best friend; good friend
親和性	affinity; compatibility; tropism; compatible
診断	diagnostic; medical examination; diacrisis; diagnosis; diagnostics
身	one’s place; one’s body; oneself
身の回り	belongings
身の丈	height
身近	nigh、close、near、nearby、familiar、familiar
身軽	light、tripping、lightsome
身元	identity; identification; ID; character
身構え	steel oneself against、brace oneself for、steel onself for、prepare for
身体	body; constitution
身長	stature; height; standing height; body height; body length; Ht
身動き	movement
身内	family; relation; relative
身悶え	writhing
辛い	pungent; hot; acrid
進ま	go、proceed、pass on、advance、go on、progress、march on、move on、continue、proceed
進める	go ahead、plow ahead、bring forward、advance、set ahead、advance、advance、kick upstairs、upgrade、promote
進化	evolution
進学	going on to school of high grade
進学率	percentage of entering school of high grade
進言	suggestion
進行	progress; march; progression; advance
進出	advance
進展	progress; evolvement; developement; advance; evolution
進路	course; route; path; way
震える	shake、didder、shudder、shiver、shimmy、wobble、flutter、flicker、flitter、waver
震源	focus; hypocenter
震災	earthquake disaster
震災復興	earthquake disaster reconstruction
人	Homo sapiens; Homo; man; human
人々	folk; people
人ごと	other people's affairs；someone else's matter
人たち	people
人として	as a human
人となり	character
人格	personality
人格権	personal right
人間	man; human
人間らしい	human
人間ピラミッド	Human pyramid
人間科学	human science
人間関係	human relation; human relations
人間社会	human institution
人気	conditions; public interest; popular favor; business; popularity
人気投票	popularity vote
人形	doll
人件費	labor cost; personnel expenses
人権	human rights; personal rights
人権侵害	violation of human rights; infringement on human rights
人権蹂躙	violation of human rights
人口	population
人口集中地区	densely inhabited district
人口分布	population distribution
人工	prosthetic
人工衛星	satellite; artificial satellite
人工知能	artificial intelligence; AI
人工林	man‐made forest; planted forest; plantation; artificial forest
人妻	married woman
人材	talent
人材開発	talent development
人事	personnel; human affairs; personnel affairs; other people’s affairs; personnel administration
人事異動	personnel changes; personnel reshuffling; staff reassignment
人事部	Personnel Department
人質	hostage
人質事件	incident involving the taking of hostages; hostage situation
人手	help; hands; work force; manpower
人手不足	manpower shortage; labor shortage
人種差別	racial discrimination
人種的	racial、racial
人身	human body
人身事故	injury accident
人数	number of persons
人生	life
人選	personnel selection
人体	human organism; human body
人達	people
人通り	traffic
人的	human、human、human
人的資源	human resources; human resource; manpower
人道援助	Humanitarian aid
人道支援	humanitarian aid
人道的	humanely
人物	person; man
人文	humanity
人文学部	faculty of humanities
人民	people
人民軍	popular front
人民武力部	Ministry of People's Armed Forces
人名	person’s name
人命	life
人目	observation; notice; attention
人力	manpower
尋ね	inquire、enquire、ask、ask、question、query、ask、seek、search、look for
尋常	vulgar
甚大	heavy、enormous、tremendous、wicked、severe、terrible
尽き	run out
尽くし	give、commit、consecrate、dedicate、devote、play out、run down、sap、exhaust、tire
尽力	effort
迅速	chop-chop、rapidly、speedily、apace、quickly、readily、promptly、pronto、quick、quickly
陣	camp
陣営	camp
陣形	formation
陣取る	to encamp; to take up positions
図	figure; map; chart; diagram; view; drawing
図ろ	contemplate、plan、plan、be after、intrigue、connive、scheme、design、project、plan
図鑑	picture book
図式	graph
図書	book
図書館	library
図表	graph; chart; diagram
吹い	blow、bourgeon、shoot、pullulate、sprout、spud、germinate、burgeon forth、blow、brag
吹き込む	indoctrinate、tape、record、breathe
吹き替え	backup man、substitute、relief、backup、stand-in、fill-in、reliever
吹き飛ばし	brush away; blow off; talk big
吹き飛ぶ	blow off、vanish、disappear、go away
垂れ	hang、hang、fall、hang、flow、hang、hang、swag、flag、sag
垂直	vertical
推し	understand、infer、presume、take for granted、assume、hypothesise、theorise、hypothecate、suppose、theorize
推し進め	advance、promote、encourage、boost、further
推移	transition
推計	estimation; estimate
推察	conjecture; guess; surmise
推算	prediction
推奨	recommendation
推進	propulsion; drive; promotion
推薦	recommendation
推測	conjecture; inference; supposition; speculation; surmise; presumption
推定	inference; estimation; assumption; illation; presumption
推理小説	detective story
水	water; aq.; aqua
水と油	incompatible; (going together) like oil and water
水の泡	froth、foam
水泳	bathing; swim; swimming
水害	flood injury; flood damage
水戸	Mito
水戸ホーリーホック	Mito HollyHock
水産	marine product
水資源開発促進法	water resources development promotion law
水準	cross‐level; level; standard; water level
水上	headwaters; over water
水先案内	pilotage
水着	swimming wear
水田	paddy field; rice paddy
水泡	bubble; bulla
水没	flooding; submergence
水俣病	Minamata disease
水面	water surface
炊飯	rice cooking
衰退	ebb; atrophy; deterioration; involution; decay
遂げ	finish、finish、eat up、polish off、finish、action、carry out、execute、carry through、fulfill
遂行	performance
遂行能力	performance
酔った勢い	because. . .is drunk
酔っ払っ	soak、hit it up、souse、inebriate
随時	sometimes
崇め	idolise、hero-worship、revere、idolize、worship、reverence、fear、revere、venerate、look up to
崇拝	admiration; adoration; worship
数	number
数々	diverseness、multifariousness、variety、diversity
数えれ	count、itemise、recite、enumerate、itemize、count、number、numerate、enumerate、count
数字	figure; numeral; numerical character
数少ない	few in number
数多く	many
数値	numerical value; value
杉原	25893 Sugihara
菅	sedge; Carex
摺り	rub、fret、rub、scratch、fray、chafe、impress、print、gall、fret
寸前	on the verge; on the brink; just in front of; just before
寸断	cutting into pieces
世	time; life; society; age; world
世の中	life; society; world
世界	earth; universe; world
世界のサッカー	Geography of association football
世界一	best in the world
世界観	world view
世界初	world-first
世界情勢	world situation; global situation
世界選手権	world championship
世界中	all over the world
世界保健機関	World Health Organization
世間	society; public; people; world
世紀	century
世帯	household; family
世代	generation
世代交代	alternation of generations; change of generation; digenesis; alternation of generation
世直し	social reform
世田谷	Setagaya
世論	public opinion
世論調査	public opinion survey; public opinion poll
世話	trouble; help; care
是	righteousness; justice; right
是正	modification
是正勧告	citation
是非	appropriateness; right and wrong
凄い	horrible、frightful、ugly、atrocious、horrifying、awful、direful、horrendous、frightening、dreadful
凄まじい	horrible、frightful、ugly、atrocious、horrifying、awful、direful、horrendous、frightening、dreadful
凄惨	horrible、frightful、ugly、atrocious、horrifying、terrifying、terrific、frightful、fearful、hideous
凄絶	fierce、boisterous、rough、fierce、tearing、violent、vehement、trigger-happy、fierce、ferocious
凄腕	operator、hustler、wheeler dealer、crackerjack、jimhickey、jimdandy
制	system; organization; organisation; imperial command; laws; regulation; control; government; suppression; restraint; holding back; establishment
制し	govern、curb、control、hold、hold in、contain、check、moderate、master、dominate
制する	control、master、keep in line、manipulate、control、govern、curb、control、hold、hold in
制限	restriction; limitation
制御	control
制裁	punishment; sanctions
制作	production
制作会社	production company
制定	establishment; enactment
制度	system; institution
制覇	conquest
勢	accordingly、consequently、inevitably、needs、necessarily、of necessity、inescapably、inevitably、ineluctably、unavoidably
勢い	force
勢ぞろい	line‐up
勢力	influence; power; force
姓	last name
性	sex; gender; sexual; sexuality
性格	personality; character
性教育	sex education
性差	sexual specificity; sex difference; sexual difference
性質	property; characteristic; disposition; character
性的	sexual
性的嗜好	sexual preference
性能	performance; capacity; ability
性癖	inclination; disposition
性別	sex; sexuality
成し遂げ	finish、finish off、get through、clear up、mop up、finish up、polish off、wrap up、carry out、put through
成す	make、make、get、make、action、carry out、execute、carry through、fulfill、fulfil
成り行き	outcome、termination、result、resultant、final result、effect、consequence、upshot、outcome、event
成り立っ	maturate、mature、grow、stand up、hold up、hold water
成果	product; result; fruit; outcome
成功	success
成功率	success rate
成就	accomplishment; achievement; fulfilment; completion
成獣	adult
成熟	ripening; maturation
成城大学	Seijo Univ.
成人	adult
成績	result; mark
成長	auxesis; outgrowth; growing; growth
成田	Narita
成文法	written law
成立	realization; formation
政界	political world; political circles
政権	administrative power; government; political power; administration
政権運営	running a government administration; managing a cabinet
政権交代	change of government; change of governing party
政策	policy
政策学	policy studies
政策担当秘書	policy staff
政治	politics; government
政治・経済	political economy
政治学	politics
政治学科	department of political science
政治活動委員会	political action committee
政治局員	politician
政治経済	political economy
政治的	political、political、political
政党	political party
政府	cabinet; government; administration
政府見解	governmental opinion
政府高官	government executive official; high official; high government official
整え	neaten、straighten、clean up、tidy、straighten out、square away、tidy up、tune up、tune、set
整っ	to be prepared; to be in order; to be put in order; to be arranged
整合性	consistency
整備	preparation; maintenance; improvement
整理	arrangement; adjustment; order; disposal; clearing; regulation; readjustment
星屑	stardust
星野	Hoshino
星野源	Gen Hoshino
晴	partly cloudy
晴れ	sunshine、temperateness、fair weather、good weather
晴れ姿	appearing in one's finest clothes; appearing in one's hour of triumph
晴れ舞台	big moment (e.g. performance、in the spotlight); gala occasion; (on the) world stage
棲み	dwell、inhabit、populate、live
正しい	accurate、correct、right、exact、accurate、precise、correct、right、fair、just
正解	correct interpretation; correct answer; correct solution
正確	just、precisely、exactly、right、correctly、aright、accurately、accurately、precisely、incisively
正規	rule、regulation、rule、prescript、regulation、ordinance
正規雇用	regular employment; typical employment
正義感	sense of justice
正行	correct practices (esp. in Jodo、the path to rebirth in paradise)
正式	formal、official、formal、proper
正式メンバー	official member
正社員	regular employee
正常	normal …; normal
正直	honestly、aboveboard、frankly、honestly、candidly
正当	fair、just、fair、honest、just、rightful、licit、legitimate、lawful、rightful
正統派	orthodox
正反対	opposite
正面	transverse plane; front face
正論	right argument
正和	Shouwa era (1312.3.20-1317.2.3)
清	Qing (dynasty of China、1616-1912); Ch'ing
清く	clean、clean、clean-living、pure、ingenuous、innocent
生	life; living
生い立ち	background; personal history
生え	bourgeon、shoot、pullulate、sprout、spud、germinate、burgeon forth
生かし	resuscitate、revive、energize、excite、energise
生き	experience、see、go through、be、live、live、survive、exist、subsist、live
生き延び	go、survive、endure、last、hold out、hold up、live on、live、survive、pull through
生き甲斐	life
生き残っ	go、survive、endure、last、hold out、hold up、live on、live、survive、outlast
生き抜く	go、survive、endure、last、hold out、hold up、live on、live、survive、pull through
生き物	creature
生き方	way of life
生き埋め	burying alive
生き様	attitude to life; form of existence; way of life
生じ	arise、come up、come about、go on、hap、pass、pass off、fall out、occur、take place
生の声	fresh voice
生まれ	nativity、birth、nascence、nascency、birthplace、place of birth、filiation、descent、line of descent、lineage
生まれつい	be born
生まれで	be born
生まれる	be born、bob up、arise、come up
生まれる。	be born、bob up、arise、come up
生まれ変わっ	be born again; make a fresh start in life
生み	beget、generate、get、bring forth、father、engender、sire、mother、birth、deliver
生みだす	birth、deliver、bear、give birth、have、work out、work up、make、create、make
生み出し	birth、deliver、bear、give birth、have、make、create、generate、bring forth、make
生やし	to grow; to cultivate; to wear a beard
生涯	lifetime; life
生活	life
生活科学	life science
生活者	habitant
生活費	living expenses
生活保護	livelihood protection
生産	livebirth; elaboration; live birth; output; production
生産者	manufacturer; producer
生産性	productivity
生子	pig iron
生身	living body
生成	creation; fabrication; outgrowth; generation; formation
生鮮	fresh
生息	inhabiting
生存	survival
生態	ecology
生誕	birth
生中継	live coverage
生徒	student; pupil
生年月日	date of birth
生放送	live program
生命	life; biosis
盛り込み	integrate、incorporate、comprise、incorporate、contain
盛り上がり	gibbosity、protuberance、bump、swelling、bulge、excrescence、jut、protrusion、extrusion、hump
盛り上がる	swell; rouse; rise
盛り上げ	pile up、heap up、stack up、exalt、animate、invigorate、enliven、inspire
盛り土	banking
盛り返し	make a comeback; rally
盛ん	demotic、energetic、vigorous、vigorous
盛岡	Morioka
盛況	successfulness、prosperity
盛時	climax、flood tide、flower、peak、efflorescence、heyday、prime、flush、bloom、blossom
精査	scanning
精算	fare adjustment; payoff
精子提供	Sperm donation
精神	phren; nous; mentalis; soul; spirit; anima; mind; animus
精神科医	psychiatrist
精通	mastery
精度	precision; accuracy
精密	accurate、exact、fine
聖	devotional、holy、holy、sacred、consecrated、sanctified、sacred、hallowed
聖地	holy place
声	tone; voice; cry
声援	rooting
声明	declaration
製	manufacture; of ...; made in; make
製作	manufacture; fabrication; production
製作委員会	A production partnership
製作会社	manufacturing company
製作所	factory
製造	manufacturing; preparation; manufacture; making; production
製造業	manufacturing industry
製造部門	fabrication sector
製品	product; preparation; manufacture
西	west
西海岸	West Coast
西川	Nishikawa
西日本	Western Japan
西日本新聞	Nishinippon Shimbun
西濃運輸	Seino Transportation Co.、Ltd.; Seino Transportation
西武	Seibu
西部	west、west side、western united states、west
西洋	west、occident
誠意	good faith; sincerity
誠実	honesty; faithfulness; sincerity
誠心	sincerity、seriousness、sincerity、earnestness
誓っ	promise、pledge、plight、pledge、vow、swear、affirm、avow、swan、swear
請け負う	to contract; to undertake
請求	application; request; demand
請負	contract
逝っ	die、go、exit、perish、snuff it、cash in one's chips、give-up the ghost、conk、pass、decease
醒め	arouse、come alive、wake、waken、awake、awaken、wake up、sober up、sober
青	blue、blueness、go-ahead、green light、blue
青瓦台	Blue House
青弓社	Seiky?sha
青春	bloom of youth; youth
青少年	young adult; younger generation; youth
青色	blue、blueness
青信号	green signal
青森	Aomori prefecture; Aomori; Aomori‐ken
青年	youth; young man; young people
青梅街道	Ome Highway
青木	Aoki
静か	smooth、unruffled、tranquil、quiet、still、placid、still、subdued、hushed、muted
静観	contemplation
斉唱	unison
税	tax
税金	tax; duty
税収	tax revenue; tax yield
税務署	tax office
脆弱	fragile、frail、delicate、frail、weak、vulnerable
脆弱性	fragilitas; fragility; brittleness
隻	counter for ships (large boats)
席	seat; place
席巻	storm
席上	at the meeting
惜しま	regret、repent、regret、rue、regret
昔	ancient
昔ながらの	unchanged since olden times
昔なじみ	old friend; familiar face
石垣島	Oshigakishima Island
石巻	Ishinomaki
石器時代	Stone Age
石原慎太郎	Shintaro Ishihara
石黒浩	Hiroshi Ishiguro
石坂浩二	Koji Ishikawa
石田	Ishida
石油	coal oil; kerosene; petroleum
石油税	petroleum tax
積	product
積み重ね	stack up
積み重ね	stack、pile、stack、heap、accumulate、hoard、compile、roll up、collect、amass
積み上げ	pile、stack、heap、load、accumulate、hoard、compile、roll up、collect、amass
積ん	load、laden、load up、lade、load、charge、pile、stack、heap、pile up
積極	positiveness
積極的	active、positive、vigorous
積載	loading
積雪	snow fall; snow coverage; snow cover; snow; deposited snow; snow accumulation
積立	lay aside、save up、save
籍	census register
責	duty、responsibility、obligation、obligation
責め	torture、excruciate、torment、criminate、reprimand、censure、blame、fault、blame、find fault
責任	charge; liability; responsibility
責任者	person in charge; responsible person
責務	obligation; duty
赤	red、redness、communism、red light、communism、communist、commie、communist
赤い	ruddy、reddish、red、blood-red、scarlet、ruby-red、ruby、carmine、crimson、cerise
赤ちゃん	baby
赤外線センサー	infrared sensor
赤坂	Akasaka
赤字	red; deficit
赤信号	red signal
赤木	Javanese bishopwood
跡地	used place
切	off
切っ	finish、break、break off、stop、discontinue、interrupt、break、trump、trump out、trump
切ない	painful、sore、afflictive、painful
切らし	to be out of; to run out of; to be short of; to be out of stock
切り	end; finish; stop
切り換える	convert、modify、alter、change、exchange、switch、switch over、exchange、convert、commute
切り口	opening、opening、slit、porta、opening、orifice
切り込む	attack、slash、gash
切り捨て	omission of fractions
切り捨てる	truncate、cut short、take out、except、leave off、exclude、omit、leave out、cut down、mow
切り取っ	chip、cut off、break off、knap、cut off、lop off、chop off、cut down、mow、wear away
切り上げ	shorten、finish、break、break off、stop、discontinue、finish、eat up、polish off、finish
切り身	piece、slice
切り替え	convert、modify、alter、change、exchange、switch、switch over、exchange、convert、commute
切り替わる	exchange、switch、switch over、shift、switch、change over
切り離し	detach、cut off、lop off、chop off、cut away、lop、sever、discerp
切れ	fragment、shard、sherd、snipping、snippet、snip、piece、slice、fragment
切れ	snap、crack、run out、go、run short、run low、cut、cut
切れ込む	to cut into
切れ味	cutting quality
切れ目	nick; discontinuity
切実	earnest、dear、devout、heartfelt
切断	ablation; cutting
切符	ticket
切望	thirst; earnest desire
切磋琢磨	discipline
拙速	hasty、headlong、hasty、precipitate、overhasty、precipitant、precipitous
拙著	my production
接する	meet、adjoin、contact、touch、touch、touch、tie、connect、link、link up
接近	proximity; approach; access; contiguity
接見	interview
接見室	reception room
接触	contact
接戦	close game; close fight
接続	junction; duration; connection; joining
接続し	connect to
接続水域	contiguous zone
接点	contact
摂	ingest、take in、consume、have、take
摂関政治	regency government
摂取	ingestion; introjection; intake; dietary intake; caloric intake
摂取量	intake; dietary intake; caloric intake
摂食障害	eating disorder
折	time、clip、occasion、time、time、occasion
折り合い	agreement
折り返し	turn、cuff、turnup
折り返す	iterate、repeat、retell、restate、reiterate、ingeminate、turn back、double back、backtrack
折角	with trouble; at great pains
設け	fix up、arrange、put in、install、instal、set up、effect、effectuate、set up、constitute
設計	layout; design
設置	installation; mounting
設定	setting
設問	question
設立	establishment; foundation
節	node; knot
節目	turning point; knot
節約	economy; saving
説	theory; opinion; view
説教	preaching
説得	persuasion; inducement; influence
説得力	persuasive power; persuasion
説明	description; illustration; explanation
説明会	explanatory meeting
雪だるま	snowman
雪だるま式	snowballing (phenomenon、effect)
絶た	break、break off、stop、discontinue、interrupt、break、abandon、give up、break up、sever
絶海	distant seas
絶句	Chinese quatrain
絶賛	extol、laud、exalt、proclaim、glorify、look up to、admire、admire
絶対	obligatory; obligatory …; obligate …; obligate
絶対無理	never possible；definitely impossible
絶大	enormous、tremendous
絶望	despair
絶妙	superb、brilliant
絶滅	eradication; extermination; extinction
絶滅危惧種	endangered species
仙台市	Sendai City
先	future; ahead; advance; tip
先ほど	some time ago; not long ago; just now
先回り	anticipation
先客	preceding visitor
先月	month before last; last month
先見の明	foresight
先行	leading; precedence
先取り	take in advance
先週	last week; the week before
先進	advanced; presenting part
先進国	senior nation; developed country; advanced nation
先陣	advance guard
先制	anticipate、forestall、foresee、counter
先制攻撃	pre‐emptive strike
先生	teacher; doctor
先送り	shelve、defer、put off、put over、table、hold over、postpone、remit、prorogue、set back
先達	senior master; leader of the way
先端	point; tip
先端技術	high technology; advanced technology
先頭	lead; head; top
